,Horsepower,Extra propeller,Retractable Landing gear,Empty Weight (lb),Payload Weight (lb),Fuel Load (lb)(Enough for 40 min),Total Weight (lb),Wing 1 Semi-Length,Wing 1 Lat Arm,Wing 1 Root Chord,Wing 1 Tip Chord,Sweep,Long Arm,Wing Area,Aspect Ratio,Wing Loading,Power Loading,Score
1242,400,0,1,1304.2800000000002,5600,300,7204.280000000001,35,2,3.5,2.6,0,13,213.5,22.95081967213115,33.74370023419204,18.0107,89161.50337988911
1243,475,1,0,1852.28,5300,300,7452.28,45,2,2.6,2.0,0,13,206.99999999999997,39.130434782608695,36.00135265700484,15.689010526315789,89159.02008353833
1244,475,1,0,1852.28,5300,300,7452.28,45,2,2.6,2.0,0,13,206.99999999999997,39.130434782608695,36.00135265700484,15.689010526315789,89159.02008353833
1245,425,0,1,1940.2800000000002,5300,300,7540.280000000001,40,2,3.2,3.5,0,13,268.0,23.88059701492537,28.13537313432836,17.74183529411765,89153.50570053355
1246,425,1,0,1940.2800000000002,5300,300,7540.280000000001,40,2,3.2,3.5,0,13,268.0,23.88059701492537,28.13537313432836,17.74183529411765,89153.50570053355
1247,450,1,0,2152.28,5000,300,7452.280000000001,55,2,2.0,2.9,0,13,269.5,44.897959183673464,27.652244897959186,16.560622222222225,89153.29579582538
1248,400,0,0,1896.2800000000002,5300,300,7496.280000000001,50,2,2.9,2.9,0,13,290.0,34.48275862068966,25.849241379310346,18.7407,89149.92187331745
1249,475,1,1,1764.2800000000002,5300,300,7364.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,38.058294573643416,15.503747368421054,89147.02122220675
1250,475,0,1,1744.2800000000002,5300,300,7344.280000000001,45,2,2.3,2.0,0,13,193.5,41.86046511627907,37.9549354005168,15.46164210526316,89147.02122220675
1251,475,1,0,1852.28,5300,300,7452.28,45,2,2.3,2.3,0,13,206.99999999999997,39.130434782608695,36.00135265700484,15.689010526315789,89147.02122220675
1252,475,1,1,1764.2800000000002,5300,300,7364.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,38.058294573643416,15.503747368421054,89147.02122220675
1253,475,1,1,1764.2800000000002,5300,300,7364.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,38.058294573643416,15.503747368421054,89147.02122220675
1254,450,0,0,1684.2800000000002,5900,300,7884.280000000001,35,2,3.5,2.6,0,13,213.5,22.95081967213115,36.928711943793914,17.520622222222222,89140.97277389014
1255,450,0,0,1684.2800000000002,5900,300,7884.280000000001,35,2,3.5,2.6,0,13,213.5,22.95081967213115,36.928711943793914,17.520622222222222,89140.97277389014
1256,450,0,1,1704.2800000000002,5900,300,7904.280000000001,35,2,3.5,2.6,0,13,213.5,22.95081967213115,37.022388758782206,17.565066666666667,89140.97277389014
1257,425,0,1,2236.28,5300,300,7836.280000000001,50,2,3.8,2.3,0,13,305.0,32.786885245901644,25.692721311475413,18.438305882352942,89125.27485519058
1258,425,1,1,1440.2800000000002,5900,300,7640.280000000001,35,2,2.9,2.9,0,13,203.0,24.137931034482758,37.6368472906404,17.977129411764707,89118.5851254458
